name,category,brand,price,rating,reviews_count,stock_status,size,size_type,link
"California Gold Nutrition,NMN (никотинамид мононуклеотид),175 мг,60 растительных капсул","Пищевые добавки,Витамины,Витамин B,B3 Ниацин,NAD+,Никотинамидмононуклеотид (NMN)",California Gold Nutrition,3352.87,4.5,334,1,60,штука,https://ru.iherb.com/pr/california-gold-nutrition-nmn-nicotinamide-mononucleotide-175-mg-60-veggie-capsules/104104
"Nature's Plus,Animal Parade,добавка для детей с мультивитаминами и минералами,ассорти из натуральных вкусов,180 жевательных таблеток в форме животных","Товары для детей,Здоровье детей,Детские мультивитамины",Nature's Plus,1416.25,4.8,9460,1,180,штука,https://ru.iherb.com/pr/nature-s-plus-source-of-life-animal-parade-children-s-chewable-multi-vitamin-and-mineral-supplement-natural-assorted-flavors-180-animal-shaped-tablets/7511
"21st Century,Витамин C,500 мг,250 таблеток","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота",21st Century,441.83,4.7,11614,1,250,штука,https://ru.iherb.com/pr/21st-century-vitamin-c-500-mg-250-tablets/41309
"Nature's Bounty,Супер комплекс витаминов В с фолиевой кислотой и витамином С,150 таблеток","Пищевые добавки,Витамины,Витамин B,Комплекс витаминов группы B,Пищевые добавки,Витамины,Витамин B,Фолиевая кислота",Nature's Bounty,879.79,4.8,3532,1,150,штука,https://ru.iherb.com/pr/nature-s-bounty-super-b-complex-with-folic-acid-plus-vitamin-c-150-coated-tablets/32457
"MegaFood,Комплекс витаминов группы B для детей,30 таблеток","Товары для детей,Здоровье детей,Детские мультивитамины",MegaFood,974.57,4.8,6637,1,30,штука,https://ru.iherb.com/pr/megafood-kids-b-complex-30-tablets/46501
"SmartyPants,мультивитаминная добавка для детей с омега-3 кислотами,с клубничным,банановым,апельсиновым и лимонным вкусом,120 жевательных таблеток","Товары для детей,Здоровье детей,Детские мультивитамины,Товары для детей,Здоровье детей,ДГК и омега для детей",SmartyPants,1430.56,4.8,3766,1,120,штука,https://ru.iherb.com/pr/smartypants-kids-formula-multi-and-omega-3s-strawberry-banana-orange-and-lemon-120-gummies/46171
"California Gold Nutrition,буферизованный витамин C в капсулах,750 мг,60 растительных капсул","Пищевые добавки,Витамины,Витамин С,Аскорбат натрия",California Gold Nutrition,372.54,4.9,7983,1,60,штука,https://ru.iherb.com/pr/california-gold-nutrition-buffered-vitamin-c-capsules-750-mg-60-veggie-capsules/84569
"Garden of Life,Vitamin Code,цельнопищевые мультивитамины для детей,вишня,60 жевательных мишек","Товары для детей,Здоровье детей,Детские мультивитамины",Garden of Life,1657.59,4.6,8871,1,60,штука,https://ru.iherb.com/pr/garden-of-life-vitamin-code-kids-chewable-whole-food-multivitamin-for-kids-cherry-berry-60-chewable-bears/24315
"Mason Natural,витамин К2,100 мкг,100 таблеток","Пищевые добавки,Витамины,Витамин К",Mason Natural,473.87,4.8,2759,1,100,штука,https://ru.iherb.com/pr/mason-natural-vitamin-k2-100-mcg-100-tablets/85758
"Garden of Life,MyKind Organics,органический спрей с витамином B12,со вкусом малины,58 мл (2 жидк. унции)","Пищевые добавки,Витамины,Витамин B,B12",Garden of Life,1015.45,4.9,4484,1,2,жидкая унция,https://ru.iherb.com/pr/garden-of-life-mykind-organics-b-12-organic-spray-raspberry-2-fl-oz-58-ml/58126
"California Gold Nutrition,мультивитаминный комплекс для женщин,ягодный и фруктовый вкус,90 жевательных конфет","Пищевые добавки,Женское здоровье,Женские мультивитамины,Пищевые добавки,Витамины,Мультивитамины",California Gold Nutrition,894.10,4.5,3674,1,90,штука,https://ru.iherb.com/pr/california-gold-nutrition-women-s-multi-vitamin-mixed-berry-and-fruit-flavor-90-gummies/82263
